Name			Salary			Expected			Experience			


Normalization min-max Method:

Bill			0.805755			0.936			0.909091
Jordan			0.0359712			0.84			0.311688
Michel			0.978417			0.776			0.480519
Mike			0.510791			0.08			0.857143
Harry			0.42446			0.392			0.831169
Louis			0.553957			0.512			0.012987
Nail			0.597122			0.232			0.272727
Tony			0.115108			0.128			0.038961
Ron			0.676259			0.304			0.454545
Tomlinson			0.158273			0.768			0
Liam			0.568345			0.624			0.714286
Zyan			0.748201			0.528			1
Shawn			1			0.112			0.233766
Justin			0.697842			0.688			0.272727
Hailey			0.827338			0.744			0.779221
Julia			0			0			0.285714
Taylor			0.553957			0.944			0.25974
Cindrella			0.76259			0.76			0.519481
Tom			0.460432			1			0.727273
Odin			0.769784			0.176			0.0779221


Normalization using z-score method:  

Bill			2.14549e-06			3.25895e-05			0.0600683
Jordan			-4.63642e-06			2.49364e-05			-0.01843
Michel			3.66667e-06			1.98343e-05			0.00375427
Mike			-4.53183e-07			-3.56507e-05			0.0532423
Harry			-1.21377e-06			-1.07781e-05			0.0498294
Louis			-7.28896e-08			-1.21174e-06			-0.0576792
Nail			3.07404e-07			-2.35333e-05			-0.0235495
Tony			-3.93921e-06			-3.18242e-05			-0.0542662
Ron			1.00461e-06			-1.77935e-05			0.000341297
Tomlinson			-3.55892e-06			1.91966e-05			-0.0593857
Liam			5.3875e-08			7.71689e-06			0.034471
Zyan			1.63843e-06			6.37759e-08			0.0720137
Shawn			3.85681e-06			-3.30997e-05			-0.0286689
Justin			1.19476e-06			1.2819e-05			-0.0235495
Hailey			2.33564e-06			1.72833e-05			0.0430034
Julia			-4.95333e-06			-4.20283e-05			-0.021843
Taylor			-7.28896e-08			3.32273e-05			-0.025256
Cindrella			1.7652e-06			1.85588e-05			0.00887372
Tom			-8.9686e-07			3.76916e-05			0.0361775
Odin			1.82858e-06			-2.79976e-05			-0.0491468


Normalization using decimal scaling method: 

Bill			0.116			0.118			0.72
Jordan			0.9			0.106			0.26
Michel			0.14			0.98			0.39
Mike			0.75			0.11			0.68
Harry			0.63			0.5			0.66
Louis			0.81			0.65			0.3
Nail			0.87			0.3			0.23
Tony			0.2			0.17			0.5
Ron			0.98			0.39			0.37
Tomlinson			0.26			0.97			0.2
Liam			0.83			0.79			0.57
Zyan			0.108			0.67			0.79
Shawn			0.143			0.15			0.2
Justin			0.101			0.87			0.23
Hailey			0.119			0.94			0.62
Julia			0.4			0.1			0.24
Taylor			0.81			0.119			0.22
Cindrella			0.11			0.96			0.42
Tom			0.68			0.126			0.58
Odin			0.111			0.23			0.8
